code,exchange,element,structure,E0,E0_err,V0,V0_err,B,B_err,BP,BP_err
VASP,PBE,Y,hcp,-6.433244523271282,1.41474167162336e-05,32.781415081266395,0.0011275056656288099,41.57873498905992,0.07637368652998153,2.50052243041414,0.0309900288586055
VASP,PBE,Pt,fcc,-6.0966624635306,7.22885919350871e-05,15.6149851279704,0.00244992237112272,249.40051040023837,1.126358379085466,5.26890916532544,0.483701019021576
VASP,PBE,Co,fcc,-6.837963506199468,9.53918642344353e-05,10.264770845067401,0.00321091937339232,253.39551030766083,2.247163342264164,4.81981111104837,0.99626289639416
VASP,PBE,Mo,bcc,-10.9494209145368,1.5006121226267599e-05,15.6397580876072,0.00047738806453046396,268.4985868064042,0.23272968884406614,4.29698632026258,0.0958532506612093
VASP,PBE,Ta,fcc,-11.6132280706973,3.4223181736497305e-05,18.6548722588117,0.0014697154396059301,198.66073390288784,0.45688486564391,3.7764993372179,0.243875376523321
VASP,PBE,Ir,bcc,-8.20947533442433,1.5911514697487302e-05,15.063892844879902,0.000226112715448679,309.32915368182574,0.25921231755984314,5.08817718749995,0.0307215687765504
VASP,PBE,Os,bcc,-10.361804597465,5.63573597509812e-05,14.7784012504981,0.00134052420680891,358.4262978096002,0.9231710417541352,4.95738748327232,0.28844475647626
VASP,PBE,Mn,hcp,-8.927829480682679,2.62732512590284e-05,10.641469162840698,0.0007947565206986862,282.93999419291094,0.5983489678563041,4.46042736626214,0.23334656767358
VASP,PBE,Re,fcc,-12.3634231629002,6.628398467562282e-05,14.983684350583301,0.0015174892425371196,371.0668455672541,1.0694505311868336,4.59116671037663,0.31256529338261
VASP,PBE,Cu,fcc,-3.72772527275145,2.93438000889663e-05,12.0011486726744,0.00178604372522951,137.58657863449102,0.5839711887382576,6.7727932563364295,0.573578575160258
VASP,PBE,Mn,bcc,-8.814675647914633,3.3580492274806e-05,10.7066313607345,0.00101202566904204,280.6793004867469,0.7513269131575379,4.6445755408137,0.290008318406707
VASP,PBE,V,fcc,-8.68320092152966,1.05404630396288e-05,13.663170282330599,0.000494502187908786,181.23647996211517,0.1847439653614755,3.9861639577033103,0.112191700964901
